ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
live attenuated varicella-zoster virus,dexamethasone,Major,Decreased efficacy of the vaccine and increased risk of disseminated infection.,Immunosuppression by corticosteroids reduces the immune response to the live vaccine.,Avoid concurrent use; defer vaccination until immunosuppressive therapy is discontinued or at a sufficiently low dose.,1,2026-05-13
live attenuated varicella-zoster virus,methotrexate,Major,Decreased efficacy of the vaccine and increased risk of disseminated infection.,Immunosuppression by methotrexate reduces the immune response to the live vaccine.,Avoid concurrent use; defer vaccination until immunosuppressive therapy is discontinued or at a sufficiently low dose.,1,2026-05-13
live attenuated varicella-zoster virus,cyclosporine,Major,Decreased efficacy of the vaccine and increased risk of disseminated infection.,Immunosuppression by cyclosporine reduces the immune response to the live vaccine.,Avoid concurrent use; defer vaccination until immunosuppressive therapy is discontinued or at a sufficiently low dose.,1,2026-05-13
live attenuated varicella-zoster virus,tacrolimus,Major,Decreased efficacy of the vaccine and increased risk of disseminated infection.,Immunosuppression by tacrolimus reduces the immune response to the live vaccine.,Avoid concurrent use; defer vaccination until immunosuppressive therapy is discontinued or at a sufficiently low dose.,1,2026-05-13
pygeum africanum,,,,,,1,2026-05-13
overseasnorfloxacin,warfarin,Moderate,Increased risk of bleeding.,"Fluoroquinolones can inhibit the metabolism of warfarin, increasing its anticoagulant effect.",Monitor INR closely and adjust warfarin dose as needed.,1,2026-05-13
overseasnorfloxacin,metformin,Minor,Slightly increased risk of hypoglycemia.,"Norfloxacin may inhibit renal excretion of metformin, leading to increased serum levels.",Monitor blood glucose levels more frequently and consider adjusting metformin dose if necessary.,1,2026-05-13
limitedteicoplanin,,,,,,1,2026-05-13
ai health care llpchlorzoxazone,amitriptyline,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,diazepam,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,alprazolam,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,lorazepam,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,midazolam,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,zolpidem,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
ai health care llpchlorzoxazone,clonazepam,Moderate,"Increased risk of CNS depression, including drowsiness and dizziness.",Additive sedative effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
genzymetramadol,sertraline,Major,Increased risk of serotonin syndrome.,Tramadol is a serotonin reuptake inhibitor and can potentiate the serotonergic effects of SSRIs.,"Monitor for signs of serotonin syndrome (agitation, confusion, rapid heart rate, fever); use with caution or consider alternative.",1,2026-05-13
genzymetramadol,fluoxetine,Major,Increased risk of serotonin syndrome.,Tramadol is a serotonin reuptake inhibitor and can potentiate the serotonergic effects of SSRIs.,"Monitor for signs of serotonin syndrome (agitation, confusion, rapid heart rate, fever); use with caution or consider alternative.",1,2026-05-13
genzymetramadol,amitriptyline,Moderate,Increased risk of CNS depression and sedation.,Additive CNS depressant effects.,Monitor for increased sedation and dizziness; consider dose adjustment or alternative.,1,2026-05-13
genzymetramadol,haloperidol,Moderate,Increased risk of CNS depression and potentially altered pain perception.,Both drugs can cause CNS depression and have effects on neurotransmitter systems.,Monitor for increased sedation and confusion.,1,2026-05-13
genzymetramadol,clozapine,Moderate,Increased risk of sedation and potentially anticholinergic effects.,"Tramadol can cause sedation, and clozapine has anticholinergic properties.",Monitor for excessive sedation and anticholinergic side effects.,1,2026-05-13
genzymetramadol,olanzapine,Moderate,Increased risk of sedation and potentially anticholinergic effects.,"Tramadol can cause sedation, and olanzapine has anticholinergic properties.",Monitor for excessive sedation and anticholinergic side effects.,1,2026-05-13
genzymetramadol,codeine,Moderate,Increased risk of respiratory depression and sedation.,Both are opioids and can cause additive CNS and respiratory depression.,Monitor respiratory rate and depth closely; consider reduced doses.,1,2026-05-13
genzymetramadol,morphine,Moderate,Increased risk of respiratory depression and sedation.,Both are opioids and can cause additive CNS and respiratory depression.,Monitor respiratory rate and depth closely; consider reduced doses.,1,2026-05-13
ambroxol,,,,,,1,2026-05-13
currant life science llpfluvoxamine,tamoxifen,Moderate,Reduced efficacy of tamoxifen.,"Fluvoxamine is a potent CYP1A2 inhibitor and a moderate CYP2D6 inhibitor, which can affect tamoxifen metabolism.",Monitor for reduced tamoxifen efficacy and consider alternative SSRI/SNRI if necessary.,1,2026-05-13
currant life science llpfluvoxamine,theophylline,Moderate,Increased risk of theophylline toxicity.,"Fluvoxamine inhibits CYP1A2, the primary enzyme responsible for theophylline metabolism.",Monitor theophylline levels closely and consider dose reduction if toxicity is suspected.,1,2026-05-13
currant life science llpfluvoxamine,clopidogrel,Moderate,Reduced antiplatelet effect of clopidogrel.,"Fluvoxamine can inhibit CYP2C19, an enzyme involved in clopidogrel activation.",Monitor for signs of thrombotic events and consider alternative antiplatelet therapy.,1,2026-05-13
currant life science llpfluvoxamine,pimozide,Major,Potentially life-threatening cardiac arrhythmias (QT prolongation).,"Fluvoxamine inhibits CYP1A2 and CYP3A4, leading to significantly increased pimozide levels.","Avoid concurrent use. If unavoidable, monitor ECG and drug levels very closely.",1,2026-05-13
currant life science llpfluvoxamine,tizanidine,Major,"Profound sedation, hypotension, and bradycardia.","Fluvoxamine is a potent inhibitor of CYP1A2, which metabolizes tizanidine.","Avoid concurrent use. If unavoidable, use the lowest dose of tizanidine and monitor closely.",1,2026-05-13
toripalimab,,,,,,1,2026-05-13
aminexil,,,,,,1,2026-05-13
hpovidone iodine,,,,,,1,2026-05-13
inviscus lifescience llpmacitentan,,,,,,1,2026-05-13
astra idl maxrosuvastatin,cyclosporine,Major,Increased risk of myopathy and rhabdomyolysis.,"Cyclosporine inhibits OATP1B1 and BCRP transporters, which are involved in statin uptake and efflux, leading to increased rosuvastatin exposure.","Avoid concurrent use or use the lowest dose of rosuvastatin (e.g., 5 mg) and monitor for signs of myopathy.",1,2026-05-13
astra idl maxrosuvastatin,gemfibrozil,Major,Increased risk of myopathy and rhabdomyolysis.,"Gemfibrozil inhibits glucuronidation of rosuvastatin and may inhibit OATP1B1, increasing rosuvastatin levels.","Avoid concurrent use. If unavoidable, use the lowest dose of rosuvastatin and monitor for myopathy.",1,2026-05-13
astra idl maxrosuvastatin,fibrates (except gemfibrozil),Moderate,Increased risk of myopathy.,Fibrates can increase statin levels and share the risk of myopathy.,Use with caution and monitor for muscle pain or weakness.,1,2026-05-13
astra idl maxrosuvastatin,niacin (high dose),Moderate,Increased risk of myopathy.,Niacin may increase the risk of myopathy when combined with statins.,Use with caution and monitor for muscle symptoms.,1,2026-05-13
l-methyltetrahydrofolate calcium,,,,,,1,2026-05-13
enmetazobactam,,,,,,1,2026-05-13
cadsol life sciences llpaspirin,warfarin,Moderate,Increased risk of bleeding.,"Aspirin can inhibit platelet aggregation, and at higher doses, can affect the synthesis of clotting factors, potentially potentiating warfarin's anticoagulant effect.",Monitor INR closely and consider dose adjustment of warfarin. Use with caution.,1,2026-05-13
cadsol life sciences llpaspirin,ibuprofen,Moderate,Increased risk of gastrointestinal bleeding and reduced antiplatelet effect of aspirin.,NSAIDs like ibuprofen can interfere with aspirin's irreversible binding to COX-1 on platelets. They also increase the risk of GI ulcers and bleeding.,"Avoid concurrent use if possible. If co-administration is necessary, administer aspirin at least 30 minutes before or 8 hours after ibuprofen. Monitor for GI bleeding.",1,2026-05-13
cadsol life sciences llpaspirin,clopidogrel,Major,Significantly increased risk of bleeding.,"Both aspirin and clopidogrel are antiplatelet agents that inhibit different pathways of platelet aggregation, leading to an additive effect on bleeding risk.","Avoid concurrent use unless specifically indicated for certain conditions (e.g., acute coronary syndromes). Monitor for signs of bleeding.",1,2026-05-13
cadsol life sciences llpaspirin,methotrexate,Moderate,Increased risk of methotrexate toxicity.,"Aspirin, particularly at high doses, can inhibit renal excretion and increase serum levels of methotrexate.",Monitor methotrexate levels and for signs of toxicity. Avoid high-dose aspirin.,1,2026-05-13
cadsol life sciences llpaspirin,"corticosteroids (prednisolone, dexamethasone)",Moderate,Increased risk of gastrointestinal bleeding and ulceration.,Both aspirin and corticosteroids can irritate the gastric mucosa and increase the risk of GI bleeding.,Use with caution and monitor for signs of GI bleeding. Consider gastroprotective agents.,1,2026-05-13
cadsol life sciences llpaspirin,ramipril,Minor,Slightly reduced antihypertensive effect.,NSAIDs can inhibit the renal prostaglandins that mediate the hypotensive effects of ACE inhibitors.,Monitor blood pressure.,1,2026-05-13
cadsol life sciences llpaspirin,losartan,Minor,Slightly reduced antihypertensive effect.,NSAIDs can inhibit the renal prostaglandins that mediate the hypotensive effects of ARBs.,Monitor blood pressure.,1,2026-05-13
cadsol life sciences llpaspirin,allopurinol,Minor,Potential for increased adverse effects of allopurinol.,Salicylates may interfere with the uricosuric effect of allopurinol.,Monitor for efficacy and side effects.,1,2026-05-13
